CustomerID,Segment,Age,AgeBand,Gender,Region,Channel,TenureYears,IncomeBand,RiskProfile,Active90D,ProductCount,Has_Deposit,Has_CreditCard,Has_Loan,Has_Wealth,Has_Insurance,TotalAUM_k,CardMonthlySpend_k,LoanBalance_k,AnnualContribution_k,WealthPropensity
100040,財富管理,47,40-49,女,南區,理專業務,0,<60萬,穩健,0,3,1,1,0,1,0,2188,24,0,23,40
100041,大眾理財,48,40-49,女,北區,理專業務,0,60–120萬,穩健,1,3,1,0,1,0,1,15,0,1302,18,45
100042,財富管理,40,40-49,女,北區,分行臨櫃,8,120–250萬,穩健,1,1,1,0,0,0,0,49,0,0,1,74
100043,財富管理,53,50-59,女,北區,網銀／APP,2,<60萬,保守,0,3,1,0,1,0,1,52,0,2005,28,41
100044,大眾理財,40,40-49,女,北區,電話行銷,2,<60萬,保守,0,2,1,0,0,0,1,10,0,0,1,24
100045,財富管理,29,20-29,男,北區,網銀／APP,9,60–120萬,保守,1,3,1,1,0,1,0,278,17,0,7,67
100046,財富管理,28,20-29,女,南區,網銀／APP,3,<60萬,穩健,0,5,1,1,1,1,1,784,73,2107,52,33
100047,大眾理財,50,50-59,女,北區,網銀／APP,1,<60萬,積極,0,3,1,1,1,0,0,12,12,2067,30,40
100048,大眾理財,51,50-59,男,南區,分行臨櫃,2,60–120萬,保守,1,2,1,1,0,0,0,9,7,0,2,57
100049,財富管理,47,40-49,男,北區,分行臨櫃,7,60–120萬,穩健,0,2,1,0,0,1,0,2291,0,0,19,44
100050,大眾理財,54,50-59,男,中區,分行臨櫃,2,<60萬,保守,1,2,1,1,0,0,0,20,11,0,3,39
100051,大眾理財,49,40-49,男,北區,電話行銷,4,<60萬,穩健,1,3,1,1,0,0,1,12,11,0,4,40
100052,大眾理財,45,40-49,女,中區,網銀／APP,1,<60萬,積極,1,1,1,0,0,0,0,14,0,0,1,39
100053,財富管理,33,30-39,女,北區,網銀／APP,2,60–120萬,保守,0,4,1,1,0,1,1,1667,7,0,17,45
100054,財富管理,63,60+,女,東區,分行臨櫃,3,60–120萬,保守,0,3,1,1,0,1,0,726,18,0,11,38
100055,財富管理,49,40-49,男,南區,分行臨櫃,10,120–250萬,穩健,0,2,1,0,0,1,0,164,0,0,3,68
100056,財富管理,39,30-39,男,南區,網銀／APP,3,120–250萬,保守,1,3,1,0,1,0,1,182,0,3065,43,87
100057,大眾理財,30,30-39,男,南區,分行臨櫃,2,<60萬,保守,0,2,1,1,0,0,0,16,26,0,6,31
100058,大眾理財,40,40-49,男,北區,網銀／APP,2,<60萬,保守,0,1,1,0,0,0,0,20,0,0,1,25
100059,大眾理財,20,20-29,女,北區,網銀／APP,4,<60萬,穩健,1,3,1,1,0,0,1,19,16,0,5,23
100060,大眾理財,45,40-49,女,北區,網銀／APP,5,60–120萬,積極,0,3,1,1,0,0,1,8,9,0,3,39
100061,財富管理,33,30-39,男,南區,網銀／APP,10,60–120萬,積極,0,4,1,1,1,0,1,37,46,5442,82,61
100062,大眾理財,42,40-49,男,北區,理專業務,11,60–120萬,穩健,1,3,1,1,1,0,0,17,38,1215,24,77
100063,大眾理財,32,30-39,女,北區,分行臨櫃,4,<60萬,穩健,0,1,1,0,0,0,0,15,0,0,1,18
100064,財富管理,41,40-49,男,中區,理專業務,2,60–120萬,穩健,1,2,1,0,0,0,1,27,0,0,2,55
100065,財富管理,35,30-39,男,北區,分行臨櫃,4,60–120萬,穩健,1,4,1,1,0,1,1,1853,23,0,22,61
100066,大眾理財,36,30-39,男,中區,分行臨櫃,1,<60萬,保守,1,2,1,1,0,0,0,25,12,0,3,39
100067,大眾理財,58,50-59,男,北區,網銀／APP,3,<60萬,保守,0,2,1,1,0,0,0,13,6,0,1,18
100068,大眾理財,53,50-59,女,中區,分行臨櫃,1,<60萬,穩健,0,2,1,0,1,0,0,35,0,3429,45,27
100069,大眾理財,41,40-49,女,南區,網銀／APP,7,<60萬,積極,0,1,1,0,0,0,0,25,0,0,1,35
100070,大眾理財,37,30-39,女,中區,電話行銷,3,120–250萬,穩健,1,2,1,0,0,0,1,22,0,0,1,54
100071,大眾理財,47,40-49,男,北區,電話行銷,8,<60萬,積極,0,2,1,1,0,0,0,13,41,0,9,32
100072,大眾理財,50,50-59,女,北區,網銀／APP,5,60–120萬,保守,0,3,1,0,1,0,1,15,0,1243,18,47
100073,財富管理,34,30-39,女,北區,理專業務,7,120–250萬,保守,1,3,1,1,0,1,0,2865,33,0,30,80
100074,大眾理財,37,30-39,女,北區,網銀／APP,1,<60萬,積極,0,3,1,1,0,0,1,8,22,0,6,21
100075,大眾理財,20,20-29,男,中區,分行臨櫃,4,<60萬,保守,1,3,1,1,0,0,1,8,8,0,3,39
100076,大眾理財,50,50-59,女,北區,電話行銷,10,<60萬,穩健,0,3,1,1,1,0,0,13,6,4687,62,38
100077,大眾理財,60,60+,女,北區,分行臨櫃,2,60–120萬,保守,1,2,1,1,0,0,0,17,4,0,1,48
100078,財富管理,44,40-49,男,北區,分行臨櫃,9,120–250萬,積極,1,3,1,1,1,0,0,60,17,7031,96,91
100079,大眾理財,20,20-29,男,東區,分行臨櫃,0,120–250萬,保守,0,2,1,1,0,0,0,24,7,0,2,21
100080,財富管理,50,50-59,男,北區,網銀／APP,1,60–120萬,積極,1,5,1,1,1,1,1,1694,8,1576,38,77
100081,財富管理,34,30-39,女,北區,網銀／APP,4,120–250萬,保守,1,3,1,1,0,1,0,1394,48,0,22,68
100082,大眾理財,30,30-39,男,北區,網銀／APP,2,<60萬,保守,1,2,1,1,0,0,0,14,7,0,2,32
100083,財富管理,50,50-59,女,北區,網銀／APP,2,60–120萬,穩健,1,3,1,1,0,1,0,2823,33,0,30,69
100084,大眾理財,40,40-49,女,南區,電話行銷,2,<60萬,保守,1,2,1,1,0,0,0,41,7,0,2,37
100085,大眾理財,32,30-39,女,北區,理專業務,4,<60萬,保守,0,2,1,1,0,0,0,14,19,0,4,24
100086,大眾理財,30,30-39,男,中區,分行臨櫃,6,<60萬,穩健,0,1,1,0,0,0,0,22,0,0,1,30
100087,財富管理,45,40-49,女,中區,分行臨櫃,6,60–120萬,保守,1,4,1,1,0,1,1,1092,49,0,22,71
100088,大眾理財,33,30-39,男,南區,網銀／APP,4,120–250萬,保守,0,3,1,1,0,0,1,9,4,0,2,40
100089,大眾理財,25,20-29,女,中區,分行臨櫃,3,<60萬,保守,1,3,1,1,0,0,1,8,7,0,3,39
100090,大眾理財,34,30-39,男,南區,網銀／APP,1,60–120萬,穩健,1,2,1,1,0,0,0,40,25,0,6,48
100091,大眾理財,41,40-49,男,北區,網銀／APP,2,<60萬,保守,1,2,1,1,0,0,0,30,8,0,2,32
100092,財富管理,42,40-49,男,北區,電話行銷,5,<60萬,穩健,0,2,1,0,0,1,0,1954,0,0,16,43
100093,大眾理財,22,20-29,女,中區,分行臨櫃,6,<60萬,穩健,1,2,1,0,1,0,0,35,0,2152,28,44
100094,大眾理財,48,40-49,女,中區,網銀／APP,9,60–120萬,保守,0,3,1,1,0,0,1,11,10,0,4,42
100095,大眾理財,20,20-29,男,北區,網銀／APP,4,60–120萬,穩健,1,3,1,1,0,0,1,32,14,0,5,34
100096,財富管理,39,30-39,男,北區,理專業務,8,<60萬,穩健,0,3,1,1,0,1,0,1862,22,0,20,38
100097,大眾理財,31,30-39,女,北區,網銀／APP,0,<60萬,穩健,1,3,1,0,1,1,0,213,0,2754,39,36
100098,大眾理財,39,30-39,男,北區,電話行銷,2,<60萬,保守,0,2,1,0,1,0,0,6,0,958,13,33
100099,大眾理財,44,40-49,男,北區,電話行銷,3,<60萬,穩健,0,2,1,1,0,0,0,8,9,0,2,34
100100,貴賓理財,62,60+,女,北區,分行臨櫃,8,120–250萬,保守,1,2,1,0,0,1,0,20934,0,0,159,80
100101,貴賓理財,42,40-49,男,北區,網銀／APP,18,250萬+,穩健,1,4,1,1,0,1,1,20298,31,0,162,93
100102,財富管理,50,50-59,男,中區,網銀／APP,5,60–120萬,保守,1,3,1,1,0,1,0,403,34,0,12,56
100103,大眾理財,40,40-49,男,中區,分行臨櫃,0,<60萬,積極,1,3,1,1,0,1,0,74,10,0,4,37
100104,貴賓理財,31,30-39,女,中區,網銀／APP,9,60–120萬,保守,1,3,1,1,0,1,0,14396,55,0,121,89
100105,財富管理,64,60+,女,中區,網銀／APP,3,120–250萬,穩健,1,4,1,1,0,1,1,1275,15,0,16,73
100106,財富管理,28,20-29,男,北區,電話行銷,6,60–120萬,穩健,0,3,1,1,0,0,1,36,10,0,4,46
100107,大眾理財,42,40-49,男,北區,分行臨櫃,5,<60萬,保守,1,1,1,0,0,0,0,9,0,0,1,42
100108,大眾理財,42,40-49,男,中區,網銀／APP,0,60–120萬,保守,1,2,1,1,0,0,0,9,6,0,1,47
100109,大眾理財,41,40-49,男,南區,分行臨櫃,2,<60萬,保守,0,3,1,1,1,0,0,44,8,421,8,31
100110,貴賓理財,44,40-49,男,中區,網銀／APP,5,120–250萬,穩健,1,5,1,1,1,1,1,5595,40,3082,93,90
100111,大眾理財,47,40-49,男,中區,網銀／APP,3,<60萬,穩健,0,1,1,0,0,0,0,7,0,0,1,25
100112,大眾理財,20,20-29,女,中區,網銀／APP,1,60–120萬,保守,1,1,1,0,0,0,0,11,0,0,1,39
100113,大眾理財,37,30-39,男,中區,網銀／APP,1,60–120萬,穩健,0,1,1,0,0,0,0,55,0,0,1,27
100114,大眾理財,31,30-39,女,中區,網銀／APP,9,<60萬,保守,0,4,1,1,0,1,1,384,10,0,8,31
100115,大眾理財,30,30-39,女,中區,網銀／APP,3,<60萬,穩健,0,2,1,1,0,0,0,8,11,0,3,26
100116,財富管理,48,40-49,男,北區,電話行銷,2,60–120萬,保守,0,3,1,1,0,0,1,38,17,0,5,61
100117,財富管理,55,50-59,女,北區,分行臨櫃,3,60–120萬,積極,1,3,1,1,0,0,1,59,21,0,6,64
100118,財富管理,40,40-49,女,北區,電話行銷,14,60–120萬,穩健,0,4,1,1,0,1,1,3177,67,0,41,64
100119,大眾理財,46,40-49,男,中區,網銀／APP,7,<60萬,保守,0,3,1,1,0,0,1,16,68,0,16,40
100120,財富管理,44,40-49,男,南區,理專業務,2,60–120萬,穩健,0,3,1,1,0,0,1,213,34,0,10,58
100121,大眾理財,28,20-29,女,北區,分行臨櫃,1,120–250萬,穩健,1,2,1,0,1,0,0,20,0,752,10,58
100122,財富管理,41,40-49,男,北區,網銀／APP,1,60–120萬,保守,1,3,1,1,0,1,0,200,12,0,6,72
100123,大眾理財,34,30-39,女,南區,分行臨櫃,6,<60萬,保守,0,3,1,0,1,0,1,25,0,4316,58,35
100124,大眾理財,30,30-39,女,北區,理專業務,2,<60萬,保守,0,1,1,0,0,0,0,15,0,0,1,15
100125,大眾理財,42,40-49,男,南區,網銀／APP,0,60–120萬,保守,1,1,1,0,0,0,0,12,0,0,1,46
100126,大眾理財,40,40-49,女,北區,網銀／APP,2,60–120萬,穩健,0,3,1,0,1,1,0,415,0,1812,28,40
100127,大眾理財,20,20-29,女,北區,電話行銷,3,250萬+,穩健,0,2,1,1,0,0,0,15,17,0,4,56
100128,大眾理財,20,20-29,男,北區,分行臨櫃,2,<60萬,保守,1,3,1,1,1,0,0,19,9,4213,57,37
100129,大眾理財,42,40-49,男,北區,網銀／APP,7,<60萬,保守,0,1,1,0,0,0,0,12,0,0,1,32
100130,大眾理財,29,20-29,男,北區,電話行銷,3,<60萬,穩健,1,3,1,1,1,0,0,12,10,702,11,42
100131,大眾理財,41,40-49,女,北區,分行臨櫃,4,60–120萬,穩健,1,2,1,1,0,0,0,38,7,0,2,64
100132,貴賓理財,58,50-59,女,北區,理專業務,11,120–250萬,穩健,0,3,1,0,0,1,1,4958,0,0,40,77
100133,大眾理財,24,20-29,男,北區,理專業務,5,<60萬,穩健,0,1,1,0,0,0,0,22,0,0,1,20
100134,大眾理財,22,20-29,女,南區,理專業務,2,<60萬,保守,1,2,1,1,0,0,0,12,12,0,3,36
100135,大眾理財,56,50-59,女,北區,電話行銷,1,<60萬,穩健,0,1,1,0,0,0,0,37,0,0,1,23
100136,大眾理財,41,40-49,男,北區,分行臨櫃,3,<60萬,穩健,1,1,1,0,0,0,0,19,0,0,1,48
100137,貴賓理財,45,40-49,女,北區,網銀／APP,6,60–120萬,穩健,1,2,1,0,0,1,0,3311,0,0,26,79
100138,大眾理財,27,20-29,男,南區,分行臨櫃,4,<60萬,保守,1,1,1,0,0,0,0,43,0,0,1,36
100139,財富管理,38,30-39,男,南區,電話行銷,6,<60萬,穩健,0,2,1,1,0,0,0,49,22,0,5,50
100140,大眾理財,24,20-29,男,東區,分行臨櫃,9,<60萬,保守,1,2,1,0,0,1,0,348,0,0,4,37
100141,大眾理財,47,40-49,男,南區,理專業務,2,<60萬,保守,0,1,1,0,0,0,0,9,0,0,1,31
100142,大眾理財,29,20-29,女,北區,分行臨櫃,4,60–120萬,保守,0,4,1,1,1,1,0,183,11,206,8,32
100143,貴賓理財,62,60+,男,中區,分行臨櫃,2,120–250萬,穩健,0,3,1,1,0,0,1,407,31,0,11,70
100144,大眾理財,33,30-39,女,北區,分行臨櫃,1,<60萬,穩健,0,3,1,1,1,0,0,16,11,1039,16,24
100145,大眾理財,26,20-29,男,南區,電話行銷,3,<60萬,保守,0,1,1,0,0,0,0,18,0,0,1,26
100146,大眾理財,33,30-39,男,北區,分行臨櫃,1,60–120萬,保守,0,2,1,0,0,0,1,16,0,0,1,25
100147,大眾理財,20,20-29,女,北區,分行臨櫃,5,60–120萬,保守,0,3,1,1,0,0,1,16,6,0,3,34
100148,大眾理財,36,30-39,女,南區,分行臨櫃,4,<60萬,穩健,0,3,1,1,1,0,0,12,17,823,15,32
100149,大眾理財,36,30-39,男,南區,網銀／APP,1,<60萬,穩健,1,3,1,1,0,0,1,13,8,0,3,38
100150,大眾理財,47,40-49,男,東區,理專業務,2,60–120萬,穩健,0,3,1,1,0,0,1,14,4,0,2,37
100151,財富管理,23,20-29,男,北區,網銀／APP,10,120–250萬,穩健,0,3,1,1,0,0,1,51,124,0,28,60
100152,貴賓理財,62,60+,女,北區,分行臨櫃,7,60–120萬,穩健,1,5,1,1,1,1,1,6771,37,4454,119,78
100153,大眾理財,47,40-49,男,北區,分行臨櫃,12,<60萬,保守,0,3,1,1,0,0,1,23,10,0,4,32
100154,大眾理財,51,50-59,男,北區,分行臨櫃,2,<60萬,穩健,0,1,1,0,0,0,0,45,0,0,1,28
100155,大眾理財,37,30-39,女,北區,網銀／APP,2,60–120萬,保守,1,2,1,1,0,0,0,28,70,0,15,43
100156,財富管理,55,50-59,女,北區,分行臨櫃,4,60–120萬,穩健,1,2,1,1,0,0,0,32,29,0,7,62
100157,大眾理財,21,20-29,男,南區,分行臨櫃,0,120–250萬,穩健,0,3,1,1,0,1,0,177,77,0,20,29
100158,財富管理,51,50-59,女,北區,分行臨櫃,4,<60萬,積極,0,4,1,1,1,0,1,144,23,3167,49,44
100159,財富管理,35,30-39,男,中區,網銀／APP,4,60–120萬,保守,0,2,1,1,0,0,0,114,48,0,11,39
100160,財富管理,25,20-29,女,南區,電話行銷,7,120–250萬,穩健,1,1,1,0,0,0,0,158,0,0,1,78
100161,大眾理財,25,20-29,男,中區,分行臨櫃,7,60–120萬,穩健,0,2,1,1,0,0,0,17,7,0,2,37
100162,貴賓理財,50,50-59,女,北區,網銀／APP,4,250萬+,積極,1,4,1,0,1,1,1,3549,0,1161,45,91
100163,大眾理財,28,20-29,女,北區,網銀／APP,0,<60萬,保守,1,2,1,1,0,0,0,21,33,0,7,32
100164,大眾理財,42,40-49,女,北區,理專業務,3,120–250萬,穩健,0,2,1,1,0,0,0,8,9,0,2,55
100165,大眾理財,20,20-29,男,南區,分行臨櫃,1,120–250萬,保守,0,1,1,0,0,0,0,15,0,0,1,32
100166,大眾理財,20,20-29,女,北區,電話行銷,3,120–250萬,積極,1,2,1,1,0,0,0,76,17,0,4,59
100167,財富管理,59,50-59,女,北區,理專業務,5,60–120萬,穩健,0,3,1,1,0,0,1,50,19,0,6,43
100168,財富管理,53,50-59,女,東區,理專業務,2,120–250萬,穩健,0,3,1,1,0,1,0,1350,40,0,20,58
100169,大眾理財,26,20-29,男,中區,電話行銷,3,<60萬,穩健,1,2,1,0,0,0,1,15,0,0,1,26
100170,貴賓理財,49,40-49,女,南區,分行臨櫃,1,60–120萬,穩健,0,4,1,1,0,1,1,17227,82,0,150,74
100171,大眾理財,49,40-49,男,北區,理專業務,4,<60萬,穩健,0,2,1,1,0,0,0,9,11,0,3,26
100172,大眾理財,42,40-49,女,東區,電話行銷,5,<60萬,保守,0,1,1,0,0,0,0,27,0,0,1,31
100173,大眾理財,39,30-39,女,北區,分行臨櫃,4,120–250萬,穩健,0,1,1,0,0,0,0,13,0,0,1,45
100174,貴賓理財,62,60+,女,北區,分行臨櫃,4,120–250萬,穩健,1,5,1,1,1,1,1,2507,43,5744,106,84
100175,大眾理財,29,20-29,女,南區,理專業務,5,<60萬,保守,0,3,1,1,0,1,0,89,1,0,2,19
100176,大眾理財,38,30-39,女,南區,分行臨櫃,4,60–120萬,穩健,1,1,1,0,0,0,0,62,0,0,1,48
100177,大眾理財,37,30-39,女,北區,電話行銷,5,<60萬,保守,0,1,1,0,0,0,0,28,0,0,1,19
100178,私人銀行,51,50-59,女,北區,網銀／APP,17,120–250萬,穩健,1,4,1,1,0,1,1,3692,88,0,49,93
100179,貴賓理財,45,40-49,男,北區,電話行銷,8,120–250萬,穩健,0,5,1,1,1,1,1,1461,34,12298,181,80
100180,財富管理,44,40-49,女,南區,分行臨櫃,1,60–120萬,穩健,1,1,1,0,0,0,0,39,0,0,1,76
100181,貴賓理財,50,50-59,女,南區,電話行銷,2,120–250萬,保守,1,4,1,1,0,1,1,6999,60,0,68,78
100182,貴賓理財,38,30-39,女,北區,網銀／APP,8,250萬+,穩健,0,3,1,1,0,0,1,183,36,0,10,81
100183,大眾理財,46,40-49,男,北區,理專業務,0,<60萬,穩健,0,2,1,1,0,0,0,10,12,0,3,28
100184,大眾理財,27,20-29,男,中區,分行臨櫃,2,<60萬,穩健,0,2,1,0,1,0,0,16,0,3251,42,21
100185,財富管理,41,40-49,女,中區,分行臨櫃,3,60–120萬,穩健,0,2,1,1,0,0,0,194,29,0,8,50
100186,財富管理,40,40-49,女,北區,分行臨櫃,7,120–250萬,穩健,0,3,1,1,0,1,0,2318,100,0,41,70
100187,大眾理財,41,40-49,男,中區,分行臨櫃,1,<60萬,穩健,1,2,1,1,0,0,0,7,25,0,6,42
100188,大眾理財,20,20-29,女,東區,理專業務,4,60–120萬,保守,0,3,1,1,1,0,0,10,14,2681,38,35
100189,財富管理,53,50-59,男,北區,分行臨櫃,3,60–120萬,保守,0,3,1,1,0,1,0,1220,30,0,17,47
100190,大眾理財,30,30-39,女,中區,分行臨櫃,4,<60萬,保守,0,1,1,0,0,0,0,19,0,0,1,28
100191,貴賓理財,63,60+,女,中區,電話行銷,2,120–250萬,穩健,0,4,1,1,0,1,1,14474,28,0,117,76
100192,大眾理財,32,30-39,男,中區,分行臨櫃,5,<60萬,保守,0,3,1,1,0,0,1,17,24,0,7,25
100193,大眾理財,37,30-39,女,南區,分行臨櫃,6,<60萬,穩健,0,2,1,1,0,0,0,25,41,0,9,31
100194,財富管理,65,60+,女,中區,網銀／APP,27,60–120萬,穩健,1,2,1,1,0,0,0,13,21,0,5,78
100195,大眾理財,34,30-39,男,北區,網銀／APP,3,60–120萬,保守,0,1,1,0,0,0,0,13,0,0,1,39
100196,大眾理財,51,50-59,女,北區,理專業務,6,<60萬,保守,0,2,1,0,0,0,1,28,0,0,2,32
100197,大眾理財,38,30-39,男,中區,網銀／APP,1,<60萬,保守,1,1,1,0,0,0,0,71,0,0,1,35
100198,貴賓理財,54,50-59,男,北區,分行臨櫃,14,120–250萬,保守,0,4,1,1,0,1,1,1361,21,0,18,78
100199,大眾理財,38,30-39,男,北區,網銀／APP,0,<60萬,保守,1,2,1,0,0,1,0,261,0,0,4,45
100200,大眾理財,47,40-49,女,北區,理專業務,9,60–120萬,穩健,0,2,1,1,0,0,0,7,18,0,4,42
100201,財富管理,36,30-39,女,中區,網銀／APP,5,120–250萬,積極,0,2,1,1,0,0,0,55,61,0,14,60
100202,私人銀行,44,40-49,女,東區,電話行銷,2,250萬+,保守,0,4,1,1,0,1,1,30899,14,0,238,86
100203,大眾理財,30,30-39,女,中區,網銀／APP,2,<60萬,保守,1,2,1,1,0,0,0,33,41,0,9,39
100204,大眾理財,39,30-39,女,南區,網銀／APP,6,60–120萬,穩健,1,2,1,1,0,0,0,16,31,0,7,52
100205,大眾理財,35,30-39,女,北區,電話行銷,2,60–120萬,積極,0,3,1,1,0,0,1,14,19,0,6,33
100206,大眾理財,45,40-49,女,北區,分行臨櫃,2,<60萬,積極,0,1,1,0,0,0,0,131,0,0,1,26
100207,大眾理財,52,50-59,男,東區,網銀／APP,5,<60萬,積極,1,2,1,1,0,0,0,15,28,0,6,52
100208,財富管理,33,30-39,女,北區,分行臨櫃,4,60–120萬,保守,0,2,1,0,1,0,0,41,0,13935,182,64
100209,大眾理財,29,20-29,男,南區,電話行銷,7,60–120萬,積極,1,3,1,1,0,0,1,12,11,0,4,52
100210,大眾理財,22,20-29,男,中區,網銀／APP,2,<60萬,保守,0,2,1,1,0,0,0,8,37,0,8,15
100211,財富管理,66,60+,男,北區,網銀／APP,0,60–120萬,保守,1,4,1,1,0,1,1,2016,49,0,29,53
100212,大眾理財,41,40-49,男,中區,分行臨櫃,3,<60萬,穩健,1,2,1,0,0,1,0,514,0,0,5,41
100213,大眾理財,43,40-49,女,北區,理專業務,3,<60萬,穩健,0,1,1,0,0,0,0,26,0,0,1,36
100214,財富管理,29,20-29,男,北區,網銀／APP,2,60–120萬,穩健,1,3,1,1,1,0,0,126,24,3190,48,78
100215,財富管理,43,40-49,女,北區,分行臨櫃,5,60–120萬,穩健,0,2,1,0,0,0,1,40,0,0,2,56
100216,財富管理,49,40-49,男,北區,分行臨櫃,1,60–120萬,穩健,0,3,1,1,0,0,1,57,17,0,5,51
100217,大眾理財,35,30-39,女,北區,網銀／APP,4,<60萬,保守,0,2,1,0,0,0,1,39,0,0,2,35
100218,大眾理財,49,40-49,男,南區,分行臨櫃,1,250萬+,保守,1,2,1,1,0,0,0,13,11,0,3,73
100219,貴賓理財,75,60+,女,北區,理專業務,1,60–120萬,穩健,1,4,1,1,0,1,1,2708,10,0,25,59
100220,大眾理財,27,20-29,男,南區,網銀／APP,3,<60萬,穩健,1,2,1,0,1,0,0,35,0,1120,15,40
