CustomerID,YearMonth,AUM_k,CardSpend_k,LoanBalance_k,Contribution_k
100063,2025-07,13,0,0,0
100064,2025-07,24,0,0,0
100065,2025-07,1704,21,0,1
100066,2025-07,23,11,0,0
100067,2025-07,11,5,0,0
100068,2025-07,32,0,3429,3
100069,2025-07,23,0,0,0
100070,2025-07,20,0,0,0
100071,2025-07,11,37,0,0
100072,2025-07,13,0,1243,1
100073,2025-07,2635,30,0,2
100074,2025-07,7,20,0,0
100075,2025-07,7,7,0,0
100076,2025-07,11,5,4687,4
100077,2025-07,15,3,0,0
100078,2025-07,55,15,7031,7
100079,2025-07,22,6,0,0
100080,2025-07,1558,7,1576,2
100081,2025-07,1282,44,0,1
100082,2025-07,12,6,0,0
100083,2025-07,2597,30,0,2
100084,2025-07,37,6,0,0
100085,2025-07,12,17,0,0
100086,2025-07,20,0,0,0
100087,2025-07,1004,45,0,1
100088,2025-07,8,3,0,0
100089,2025-07,7,6,0,0
100090,2025-07,36,23,0,0
100091,2025-07,27,7,0,0
100092,2025-07,1797,0,0,1
100093,2025-07,32,0,2152,2
100094,2025-07,10,9,0,0
100095,2025-07,29,12,0,0
100096,2025-07,1713,20,0,1
100097,2025-07,195,0,2754,2
100098,2025-07,5,0,958,0
100099,2025-07,7,8,0,0
100100,2025-07,19259,0,0,12
100101,2025-07,18674,28,0,12
100102,2025-07,370,31,0,0
100103,2025-07,68,9,0,0
100104,2025-07,13244,50,0,9
100105,2025-07,1173,13,0,1
100106,2025-07,33,9,0,0
100107,2025-07,8,0,0,0
100108,2025-07,8,5,0,0
100109,2025-07,40,7,421,0
100110,2025-07,5147,36,3082,7
100111,2025-07,6,0,0,0
100112,2025-07,10,0,0,0
100113,2025-07,50,0,0,0
100114,2025-07,353,9,0,0
100115,2025-07,7,10,0,0
100116,2025-07,34,15,0,0
100117,2025-07,54,19,0,0
100118,2025-07,2922,61,0,3
100119,2025-07,14,62,0,1
100120,2025-07,195,31,0,0
100121,2025-07,18,0,752,0
100122,2025-07,184,11,0,0
100123,2025-07,23,0,4316,4
100124,2025-07,13,0,0,0
100125,2025-07,11,0,0,0
100126,2025-07,381,0,1812,2
100127,2025-07,13,15,0,0
100128,2025-07,17,8,4213,4
100129,2025-07,11,0,0,0
100130,2025-07,11,9,702,0
100131,2025-07,34,6,0,0
100132,2025-07,4561,0,0,3
100133,2025-07,20,0,0,0
100134,2025-07,11,11,0,0
100135,2025-07,34,0,0,0
100136,2025-07,17,0,0,0
100137,2025-07,3046,0,0,1
100138,2025-07,39,0,0,0
100139,2025-07,45,20,0,0
100140,2025-07,320,0,0,0
100141,2025-07,8,0,0,0
100142,2025-07,168,10,206,0
100143,2025-07,374,28,0,0
100144,2025-07,14,10,1039,1
100145,2025-07,16,0,0,0
100146,2025-07,14,0,0,0
100147,2025-07,14,5,0,0
100148,2025-07,11,15,823,1
100149,2025-07,11,7,0,0
100150,2025-07,12,3,0,0
100151,2025-07,46,114,0,2
100152,2025-07,6229,34,4454,9
100153,2025-07,21,9,0,0
100154,2025-07,41,0,0,0
100155,2025-07,25,64,0,1
100156,2025-07,29,26,0,0
100157,2025-07,162,70,0,1
100158,2025-07,132,21,3167,3
100159,2025-07,104,44,0,0
100160,2025-07,145,0,0,0
100161,2025-07,15,6,0,0
100162,2025-07,3265,0,1161,3
100163,2025-07,19,30,0,0
100164,2025-07,7,8,0,0
100165,2025-07,13,0,0,0
100166,2025-07,69,15,0,0
100167,2025-07,46,17,0,0
100168,2025-07,1242,36,0,1
100169,2025-07,13,0,0,0
100170,2025-07,15848,75,0,11
100171,2025-07,8,10,0,0
100172,2025-07,24,0,0,0
100173,2025-07,11,0,0,0
100174,2025-07,2306,39,5744,8
100175,2025-07,81,0,0,0
100176,2025-07,57,0,0,0
100177,2025-07,25,0,0,0
100178,2025-07,3396,80,0,3
100179,2025-07,1344,31,12298,13
100180,2025-07,35,0,0,0
100181,2025-07,6439,55,0,5
100182,2025-07,168,33,0,0
100183,2025-07,9,11,0,0
100184,2025-07,14,0,3251,3
100185,2025-07,178,26,0,0
100186,2025-07,2132,92,0,3
100187,2025-07,6,23,0,0
100188,2025-07,9,12,2681,2
100189,2025-07,1122,27,0,1
100190,2025-07,17,0,0,0
100191,2025-07,13316,25,0,8
100192,2025-07,15,22,0,0
100193,2025-07,23,37,0,0
100194,2025-07,11,19,0,0
100195,2025-07,11,0,0,0
100196,2025-07,25,0,0,0
100197,2025-07,65,0,0,0
100198,2025-07,1252,19,0,1
100199,2025-07,240,0,0,0
100200,2025-07,6,16,0,0
100201,2025-07,50,56,0,1
100202,2025-07,28427,12,0,18
100203,2025-07,30,37,0,0
100204,2025-07,14,28,0,0
100205,2025-07,12,17,0,0
100206,2025-07,120,0,0,0
100207,2025-07,13,25,0,0
100208,2025-07,37,0,13935,13
100209,2025-07,11,10,0,0
100210,2025-07,7,34,0,0
100211,2025-07,1854,45,0,2
100212,2025-07,472,0,0,0
100213,2025-07,23,0,0,0
100214,2025-07,115,22,3190,3
100215,2025-07,36,0,0,0
100216,2025-07,52,15,0,0
100217,2025-07,35,0,0,0
100218,2025-07,11,10,0,0
100219,2025-07,2491,9,0,1
100220,2025-07,32,0,1120,1
100221,2025-07,10,5,0,0
100222,2025-07,8,0,0,0
100223,2025-07,506,41,0,1
100224,2025-07,2097,43,0,2
100225,2025-07,32,3,0,0
100226,2025-07,326,28,0,0
100227,2025-07,9,5,0,0
100228,2025-07,22,11,977,1
100229,2025-07,259,38,0,0
100230,2025-07,20,12,2641,2
100231,2025-07,8,11,0,0
100232,2025-07,23,0,1917,1
100233,2025-07,3567,19,1531,4
100234,2025-07,17,0,0,0
100235,2025-07,1741,30,0,1
100236,2025-07,647,0,1874,2
100237,2025-07,189,0,0,0
100238,2025-07,638,6,0,0
100239,2025-07,14,9,0,0
100240,2025-07,10,4,0,0
100241,2025-07,246,101,0,2
100242,2025-07,91,13,0,0
100243,2025-07,26,0,0,0
100244,2025-07,14,0,0,0
100245,2025-07,6,5,0,0
100246,2025-07,8735,12,0,5
100247,2025-07,14,24,0,0
100248,2025-07,21,9,0,0
100249,2025-07,14,11,0,0
100250,2025-07,6,13,0,0
100251,2025-07,863,2,6711,7
100252,2025-07,1971,34,0,2
100253,2025-07,17,27,1526,2
100254,2025-07,21,0,0,0
100255,2025-07,82,0,0,0
100256,2025-07,89,0,0,0
100257,2025-07,37,10,0,0
100258,2025-07,11,0,0,0
100259,2025-07,22,11,7889,8
100260,2025-07,28,31,1685,2
100261,2025-07,8,8,0,0
100262,2025-07,48,55,0,1
100263,2025-07,13,11,0,0
100264,2025-07,7,0,0,0
100265,2025-07,7849,28,5944,11
100266,2025-07,18,5,0,0
100267,2025-07,13,0,0,0
100268,2025-07,18,11,2781,2
100269,2025-07,24,9,0,0
100270,2025-07,68,24,1500,1
100271,2025-07,24,34,0,0
100272,2025-07,8,8,398,0
100273,2025-07,3175,38,0,2
100274,2025-07,8,6,0,0
100275,2025-07,82,0,0,0
100276,2025-07,13,0,0,0
100277,2025-07,251,0,621,0
100278,2025-07,20,5,1521,1
100279,2025-07,6188,26,0,4
100280,2025-07,196,26,1970,2
100281,2025-07,11,0,0,0
100282,2025-07,20,1,0,0
100283,2025-07,23,0,0,0
100284,2025-07,97,0,0,0
100285,2025-07,22,7,0,0
100286,2025-07,8,0,0,0
100287,2025-07,43,13,5120,5
100288,2025-07,11,8,0,0
100289,2025-07,9,11,0,0
100290,2025-07,41,0,0,0
100291,2025-07,67,27,0,0
100292,2025-07,13,4,0,0
100293,2025-07,843,34,0,1
100294,2025-07,11,4,0,0
100295,2025-07,798,16,0,0
100296,2025-07,6423,42,2906,7
100297,2025-07,1485,28,0,1
100298,2025-07,69,0,0,0
100299,2025-07,1350,0,0,0
100300,2025-07,30,0,0,0
100301,2025-07,58,28,0,0
100302,2025-07,18,16,1288,1
100303,2025-07,15,0,0,0
100304,2025-07,27,0,4892,4
100305,2025-07,1598,13,0,1
100306,2025-07,13,0,0,0
100307,2025-07,25,13,1374,1
100308,2025-07,75,0,3149,3
100309,2025-07,171,13,0,0
100310,2025-07,32,11,0,0
100311,2025-07,11,6,0,0
100312,2025-07,6,6,0,0
100313,2025-07,10,0,0,0
100314,2025-07,6,0,0,0
100315,2025-07,24,13,0,0
100316,2025-07,12,0,0,0
100317,2025-07,10,45,0,0
100318,2025-07,2138,21,1455,3
100319,2025-07,12,5,0,0
100320,2025-07,5860,46,0,4
100321,2025-07,3246,115,0,4
100322,2025-07,293,0,0,0
100323,2025-07,40,0,0,0
100324,2025-07,30,2,0,0
100325,2025-07,206,7,0,0
100326,2025-07,80,0,2820,2
100327,2025-07,15,17,0,0
100328,2025-07,10,11,581,0
100329,2025-07,314,0,0,0
100330,2025-07,30,0,5592,5
100331,2025-07,60,0,0,0
100332,2025-07,39,28,0,0
100333,2025-07,145,9,0,0
100334,2025-07,3680,83,0,3
100335,2025-07,57,15,0,0
100336,2025-07,31,0,0,0
100337,2025-07,16,12,0,0
100338,2025-07,1850,0,1956,3
100339,2025-07,44,19,0,0
100340,2025-07,6147,8,5591,9
100341,2025-07,11,0,0,0
100342,2025-07,1446,44,1944,3
100343,2025-07,47,49,0,0
100344,2025-07,10,0,0,0
100345,2025-07,70,103,8672,10
100346,2025-07,39,12,2106,2
100347,2025-07,2923,115,0,3
100348,2025-07,37,0,0,0
100349,2025-07,54,0,0,0
100350,2025-07,10,0,0,0
100351,2025-07,12,0,0,0
100352,2025-07,13,2,999,1
100353,2025-07,356,0,0,0
100354,2025-07,19,0,0,0
100355,2025-07,11,23,0,0
100356,2025-07,22,0,0,0
100357,2025-07,41,0,0,0
100358,2025-07,908,13,0,0
100359,2025-07,9,9,0,0
100360,2025-07,33,12,0,0
100361,2025-07,421,55,2411,3
100362,2025-07,19,17,0,0
100363,2025-07,24,0,0,0
100364,2025-07,701,0,0,0
100365,2025-07,2451,14,2588,4
100366,2025-07,25,9,0,0
100367,2025-07,864,11,0,0
100368,2025-07,345,0,2199,2
100369,2025-07,10,0,0,0
100370,2025-07,29524,46,1779,21
100371,2025-07,49,10,0,0
100372,2025-07,51,0,0,0
100373,2025-07,23,0,0,0
100374,2025-07,269,0,0,0
100375,2025-07,9,0,0,0
100376,2025-07,10,8,0,0
100377,2025-07,3660,29,0,3
100378,2025-07,14,5,0,0
100379,2025-07,23,16,0,0
100380,2025-07,696,23,0,0
100381,2025-07,11,0,0,0
100382,2025-07,8998,37,8382,14
100383,2025-07,310,24,4155,4
100384,2025-07,16,0,1765,1
100385,2025-07,21,17,0,0
100386,2025-07,9772,15,0,6
100387,2025-07,57,0,2344,2
100388,2025-07,3408,83,0,3
100389,2025-07,12,1,0,0
100390,2025-07,95,9,24901,25
100391,2025-07,2173,34,0,2
100392,2025-07,227,23,0,0
100393,2025-07,11,13,0,0
100394,2025-07,40,0,0,0
100395,2025-07,24,32,0,0
100396,2025-07,10,8,0,0
100397,2025-07,26,11,0,0
100398,2025-07,19,0,0,0
100399,2025-07,14,13,1100,1
100400,2025-07,14,0,0,0
100401,2025-07,28,0,0,0
100402,2025-07,3932,118,0,4
100403,2025-07,34,0,0,0
100404,2025-07,17,4,0,0
100405,2025-07,6210,32,0,4
100406,2025-07,413,40,7998,8
100407,2025-07,15,0,1158,1
100408,2025-07,515,34,0,1
100409,2025-07,17,6,0,0
100410,2025-07,5464,34,3630,7
100411,2025-07,144,17,8258,8
100412,2025-07,1154,23,0,1
100413,2025-07,23,10,0,0
100414,2025-07,2372,19,0,1
100415,2025-07,13,6,0,0
100416,2025-07,21,0,0,0
100417,2025-07,13,13,0,0
100418,2025-07,579,11,0,0
100419,2025-07,25,0,4019,4
100420,2025-07,5302,132,0,5
100421,2025-07,25,25,0,0
100422,2025-07,207,0,0,0
100423,2025-07,10,0,1744,1
100424,2025-07,11,20,0,0
100425,2025-07,11,7,1049,1
100426,2025-07,49,46,0,0
100427,2025-07,7,0,0,0
100428,2025-07,42,13,0,0
100429,2025-07,31,0,0,0
100430,2025-07,265,32,3175,3
100431,2025-07,1493,14,0,1
100432,2025-07,150,23,780,1
100433,2025-07,419,18,0,0
100434,2025-07,1059,0,1285,2
100435,2025-07,22,2,5454,5
100436,2025-07,647,0,0,0
100437,2025-07,11,69,562,1
100438,2025-07,31,9,412,0
100439,2025-07,1064,7,1451,2
100440,2025-07,135,38,0,0
100441,2025-07,221,0,3131,3
100442,2025-07,39,11,0,0
100443,2025-07,46,12,0,0
100444,2025-07,23,3,0,0
100445,2025-07,11,0,0,0
100446,2025-07,469,13,2385,3
100447,2025-07,9142,0,5966,11
100448,2025-07,27,0,4043,4
100449,2025-07,12,0,0,0
100450,2025-07,46,24,0,0
100451,2025-07,16,11,0,0
100452,2025-07,1588,310,0,6
100453,2025-07,989,6,0,0
100454,2025-07,11,0,3549,3
100455,2025-07,41,0,0,0
100456,2025-07,22,0,1446,1
100457,2025-07,10546,68,0,7
100458,2025-07,26,0,0,0
100459,2025-07,642,17,0,0
100460,2025-07,471,29,0,0
100461,2025-07,8,0,0,0
100462,2025-07,6,5,0,0
100463,2025-07,75,37,0,0
100464,2025-07,23,2,0,0
100465,2025-07,25,9,0,0
100466,2025-07,591,7,0,0
100467,2025-07,13,7,4572,4
100468,2025-07,2869,70,0,3
100469,2025-07,22,12,2140,2
100470,2025-07,28,10,0,0
100471,2025-07,18,0,817,0
100472,2025-07,9,14,0,0
100473,2025-07,25,0,0,0
100474,2025-07,20,0,3915,3
100475,2025-07,25,0,0,0
100476,2025-07,9,7,0,0
100477,2025-07,22,31,4274,4
100478,2025-07,28,8,0,0
100479,2025-07,21,37,0,0
100480,2025-07,11,14,2691,2
100481,2025-07,7,17,0,0
100482,2025-07,10,0,0,0
100483,2025-07,14,20,0,0
100484,2025-07,7,34,0,0
100485,2025-07,34,6,0,0
100486,2025-07,34,34,8365,8
100487,2025-07,14,9,0,0
100488,2025-07,11,2,1623,1
100489,2025-07,14,0,0,0
100490,2025-07,46,0,0,0
100491,2025-07,102,31,0,0
100492,2025-07,271,0,3792,4
100493,2025-07,189,11,0,0
100494,2025-07,9,8,0,0
100495,2025-07,57,0,1708,1
100496,2025-07,6,10,0,0
100497,2025-07,13,0,1110,1
100498,2025-07,16,18,2515,2
100499,2025-07,15,6,0,0
100500,2025-07,18,7,0,0
100501,2025-07,5739,36,0,4
100502,2025-07,3659,15,0,2
100503,2025-07,2999,46,0,2
100504,2025-07,41,0,0,0
100505,2025-07,24,0,0,0
100506,2025-07,61,0,0,0
100507,2025-07,216,0,0,0
100508,2025-07,260,11,0,0
100509,2025-07,10,0,2000,2
100510,2025-07,92,2,0,0
100511,2025-07,13,0,0,0
100512,2025-07,46,8,0,0
100513,2025-07,37,7,0,0
100514,2025-07,313,9,0,0
100515,2025-07,30,0,0,0
100516,2025-07,5,0,0,0
100517,2025-07,12,2,0,0
100518,2025-07,4678,48,0,3
100519,2025-07,8,0,0,0
100520,2025-07,985,6,0,0
100521,2025-07,122,16,0,0
100522,2025-07,11,0,0,0
100523,2025-07,26,0,1478,1
100524,2025-07,11,13,0,0
100525,2025-07,15,3,0,0
100526,2025-07,24,11,0,0
100527,2025-07,1558,25,0,1
100528,2025-07,5371,0,0,3
100529,2025-07,2832,0,0,1
100530,2025-07,149,0,0,0
100531,2025-07,66,67,0,1
100532,2025-07,138,5,0,0
100533,2025-07,16,0,0,0
100534,2025-07,1602,37,0,1
100535,2025-07,49,0,0,0
100536,2025-07,92,0,0,0
100537,2025-07,17,30,0,0
100538,2025-07,11,10,1191,1
100539,2025-07,28,0,0,0
100540,2025-07,32,21,0,0
100541,2025-07,36282,74,0,24
100542,2025-07,11,0,1795,1
100543,2025-07,42,10,0,0
100544,2025-07,4443,72,2668,6
100545,2025-07,9,0,3447,3
100546,2025-07,36,27,0,0
100547,2025-07,19,9,0,0
100548,2025-07,14,0,0,0
100549,2025-07,7827,11,0,5
100550,2025-07,16,11,0,0
100551,2025-07,15,0,0,0
100552,2025-07,8,0,0,0
100553,2025-07,10,57,0,1
100554,2025-07,1789,26,0,1
100555,2025-07,10,6,0,0
100556,2025-07,11,0,0,0
100557,2025-07,12,0,0,0
100558,2025-07,25,0,740,0
100559,2025-07,15,30,0,0
100560,2025-07,60,10,4947,5
100561,2025-07,465,40,0,1
100562,2025-07,10,0,0,0
100563,2025-07,87,34,0,0
100564,2025-07,1438,22,4411,5
100565,2025-07,199,11,2596,2
100566,2025-07,2607,13,7423,9
100567,2025-07,1336,10,0,1
100568,2025-07,58,0,1381,1
100569,2025-07,23,0,0,0
100570,2025-07,23,0,1423,1
100571,2025-07,47,0,0,0
100572,2025-07,124,15,0,0
100573,2025-07,18,6,0,0
100574,2025-07,56,62,0,1
100575,2025-07,227,4,0,0
100576,2025-07,6,46,0,0
100577,2025-07,3708,55,0,3
100578,2025-07,11,1,716,0
100579,2025-07,60,0,527,0
100580,2025-07,32,16,0,0
100581,2025-07,10,7,0,0
100582,2025-07,7,10,0,0
100583,2025-07,103,60,0,1
100584,2025-07,9,9,0,0
100585,2025-07,1493,16,0,1
100586,2025-07,62,42,1549,2
100587,2025-07,49,4,4148,4
100588,2025-07,23,20,0,0
100589,2025-07,24,18,0,0
100590,2025-07,18,0,0,0
100591,2025-07,1368,49,0,1
100592,2025-07,88,10,0,0
100593,2025-07,12,0,0,0
100594,2025-07,26,0,0,0
100595,2025-07,6,12,0,0
100596,2025-07,14,0,0,0
100597,2025-07,1082,0,0,0
100598,2025-07,47,31,4870,5
100599,2025-07,3177,42,3121,6
100600,2025-07,1500,0,0,1
100601,2025-07,37,7,0,0
100602,2025-07,371,11,0,0
100603,2025-07,18071,33,0,12
100604,2025-07,177,13,0,0
100605,2025-07,19072,32,23712,36
100606,2025-07,291,20,0,0
100607,2025-07,84,44,4713,5
100608,2025-07,339,5,0,0
100609,2025-07,417,0,5037,5
100610,2025-07,23,0,3375,3
100611,2025-07,13,17,0,0
100612,2025-07,52,0,0,0
100613,2025-07,3225,16,3974,6
100614,2025-07,1204,36,0,1
100615,2025-07,6,8,0,0
100616,2025-07,2689,8,0,2
100617,2025-07,34,0,0,0
100618,2025-07,32,60,556,1
100619,2025-07,13,0,0,0
100620,2025-07,7,0,263,0
100621,2025-07,20,0,0,0
100622,2025-07,10,0,0,0
100623,2025-07,4853,56,5464,9
100624,2025-07,14,9,0,0
100625,2025-07,13981,105,8250,19
100626,2025-07,19,16,0,0
100627,2025-07,72,0,0,0
100628,2025-07,578,0,0,0
100629,2025-07,32,0,0,0
100630,2025-07,561,13,0,0
100631,2025-07,791,12,0,0
100632,2025-07,696,35,0,1
100633,2025-07,16,12,0,0
100634,2025-07,11,0,573,0
100635,2025-07,23,0,0,0
100636,2025-07,8,0,0,0
100637,2025-07,5137,0,0,3
100638,2025-07,116,46,1016,1
100639,2025-07,898,20,3574,4
100640,2025-07,2084,23,0,1
100641,2025-07,52,89,0,1
100642,2025-07,160,29,0,0
100643,2025-07,11,14,0,0
100644,2025-07,11,0,0,0
100645,2025-07,59,0,0,0
100646,2025-07,425,27,3927,4
100647,2025-07,34,0,0,0
100648,2025-07,23,20,4133,4
100649,2025-07,2811,18,0,2
100650,2025-07,43,1,0,0
100651,2025-07,10,8,1713,1
100652,2025-07,191,0,0,0
100653,2025-07,55,11,4902,5
100654,2025-07,50,67,0,1
100655,2025-07,875,0,7588,8
100656,2025-07,6,58,3540,4
100657,2025-07,41,10,5910,6
100658,2025-07,29,4,0,0
100659,2025-07,428,10,0,0
100660,2025-07,14,4,0,0
100661,2025-07,12,0,0,0
100662,2025-07,5588,112,2371,7
100663,2025-07,23,9,0,0
100664,2025-07,18,3,841,0
100665,2025-07,12,0,0,0
100666,2025-07,1225,56,0,1
100667,2025-07,780,0,0,0
100668,2025-07,28229,21,0,18
100669,2025-07,14,12,0,0
100670,2025-07,9,4,971,1
100671,2025-07,90,10,0,0
100672,2025-07,10,33,3091,3
100673,2025-07,5004,42,0,4
100674,2025-07,444,30,0,1
100675,2025-07,10,17,0,0
100676,2025-07,26,0,0,0
100677,2025-07,1012,17,26247,27
100678,2025-07,17,0,0,0
100679,2025-07,11,11,0,0
100680,2025-07,10,0,0,0
100681,2025-07,6,0,0,0
100682,2025-07,14,11,0,0
100683,2025-07,6,13,0,0
100684,2025-07,220,0,0,0
100685,2025-07,80,0,0,0
100686,2025-07,5,0,0,0
100687,2025-07,25,62,4540,5
100688,2025-07,717,57,0,1
100689,2025-07,288,26,1750,2
100690,2025-07,13,5,0,0
100691,2025-07,9,0,0,0
100692,2025-07,4946,26,0,3
100693,2025-07,9,18,369,0
100694,2025-07,5,7,0,0
100695,2025-07,517,9,0,0
100696,2025-07,12,35,1643,2
100697,2025-07,63,33,0,0
100698,2025-07,13,0,1472,1
100699,2025-07,610,89,1339,3
100700,2025-07,8,11,3263,3
100701,2025-07,25,0,0,0
100702,2025-07,22,0,0,0
100703,2025-07,15,9,0,0
100704,2025-07,10288,29,0,7
100705,2025-07,14,5,0,0
100706,2025-07,34,0,0,0
100707,2025-07,4679,24,2470,5
100708,2025-07,151,19,3159,3
100709,2025-07,20,0,0,0
100710,2025-07,9,0,1705,1
100711,2025-07,16603,113,0,12
100712,2025-07,40,9,2028,2
100713,2025-07,110,0,0,0
100714,2025-07,17534,26,0,11
100715,2025-07,55,14,0,0
100716,2025-07,8,1,0,0
100717,2025-07,25,11,0,0
100718,2025-07,15,0,0,0
100719,2025-07,225,26,0,0
100720,2025-07,4323,319,4870,13
100721,2025-07,14,13,0,0
100722,2025-07,16,0,0,0
100723,2025-07,19,6,0,0
100724,2025-07,714,41,1317,2
100725,2025-07,10,0,439,0
100726,2025-07,34,0,0,0
100727,2025-07,11,6,0,0
100728,2025-07,15,0,0,0
100729,2025-07,13,0,0,0
100730,2025-07,10,0,0,0
100731,2025-07,13,30,0,0
100732,2025-07,9,0,0,0
100733,2025-07,7,0,0,0
100734,2025-07,17,25,0,0
100735,2025-07,52,3,1791,1
100736,2025-07,2440,11,0,1
100737,2025-07,26,0,0,0
100738,2025-07,33,8,0,0
100739,2025-07,17,11,0,0
100740,2025-07,15,4,1689,1
100741,2025-07,9,8,1692,1
100742,2025-07,27,0,2752,2
100743,2025-07,5277,43,0,4
100744,2025-07,10,12,1673,1
100745,2025-07,12,32,0,0
100746,2025-07,8,2,0,0
100747,2025-07,22,0,0,0
100748,2025-07,49,0,0,0
100749,2025-07,472,14,0,0
100750,2025-07,3183,16,1665,4
100751,2025-07,37,14,0,0
100752,2025-07,8,24,0,0
100753,2025-07,6,2,0,0
100754,2025-07,290,0,0,0
100755,2025-07,51,30,0,0
100756,2025-07,13,12,0,0
100757,2025-07,34,0,0,0
100758,2025-07,138,11,0,0
100759,2025-07,103,8,0,0
100760,2025-07,7,0,0,0
100761,2025-07,29,11,3034,3
100762,2025-07,9,0,0,0
100763,2025-07,13,9,0,0
100764,2025-07,44,6,0,0
100765,2025-07,1524,146,0,3
100766,2025-07,9,0,0,0
100767,2025-07,11,0,0,0
100768,2025-07,14,11,1695,1
100769,2025-07,314,0,3072,3
100770,2025-07,894,11,4324,5
100771,2025-07,8,4,0,0
100772,2025-07,14,9,0,0
100773,2025-07,45,0,0,0
100774,2025-07,130,42,4002,4
100775,2025-07,11,0,0,0
100776,2025-07,63,40,1401,2
100777,2025-07,22,6,2241,2
100778,2025-07,29,0,0,0
100779,2025-07,225,8,730,0
100780,2025-07,1596,13,623,1
100781,2025-07,8,0,1296,1
100782,2025-07,1058,0,0,0
100783,2025-07,23,0,0,0
100784,2025-07,7,34,0,0
100785,2025-07,23201,54,6117,21
100786,2025-07,11,0,0,0
100787,2025-07,439,7,0,0
100788,2025-07,22,14,4823,5
100789,2025-07,26,47,5359,6
100790,2025-07,21,6,0,0
100791,2025-07,17,7,0,0
100792,2025-07,6,10,0,0
100793,2025-07,44,0,0,0
100794,2025-07,40,0,0,0
100795,2025-07,31,15,0,0
100796,2025-07,31,0,0,0
100797,2025-07,10,0,0,0
100798,2025-07,35,0,0,0
100799,2025-07,114,0,7653,7
100800,2025-07,214,122,7476,9
100801,2025-07,27,0,0,0
100802,2025-07,10,17,0,0
100803,2025-07,15496,0,0,9
100804,2025-07,9,0,600,0
100805,2025-07,173,0,3031,3
100806,2025-07,8,6,3402,3
100807,2025-07,40,11,0,0
100808,2025-07,33,15,585,0
100809,2025-07,7,7,0,0
100810,2025-07,17031,80,0,12
100811,2025-07,9,7,0,0
100812,2025-07,65,0,0,0
100813,2025-07,12360,86,0,9
100814,2025-07,14,8,0,0
100815,2025-07,11,0,0,0
100816,2025-07,4991,26,2662,6
100817,2025-07,53,0,10606,10
100818,2025-07,16,0,0,0
100819,2025-07,753,0,0,0
100820,2025-07,11,11,0,0
100821,2025-07,75,0,0,0
100822,2025-07,44,0,0,0
100823,2025-07,46,11,0,0
100824,2025-07,123,57,0,1
100825,2025-07,84,0,6289,6
100826,2025-07,46,0,0,0
100827,2025-07,19,0,0,0
100828,2025-07,23,21,2237,2
100829,2025-07,14281,32,5576,15
100830,2025-07,27,4,0,0
100831,2025-07,398,0,0,0
100832,2025-07,27,15,0,0
100833,2025-07,16,11,0,0
100834,2025-07,1973,11,361,1
100835,2025-07,100,66,0,1
100836,2025-07,8,0,0,0
100837,2025-07,662,13,0,0
100838,2025-07,21439,149,0,16
100839,2025-07,17,32,1354,1
100840,2025-07,15,0,0,0
100841,2025-07,351,6,0,0
100842,2025-07,13,31,0,0
100843,2025-07,241,10,0,0
100844,2025-07,13,80,0,1
100845,2025-07,17,5,464,0
100846,2025-07,8858,0,5115,10
100847,2025-07,12,0,0,0
100848,2025-07,190,18,0,0
100849,2025-07,9,6,656,0
