CustomerID,Segment,_seg,Age,AgeBand,Region,Channel,TenureYears,IncomeBand,RiskProfile,Active90D,ProductCount,Has_Deposit,Has_CreditCard,Has_Loan,Has_Wealth,Has_Insurance,TotalAUM_k,AUM_萬,CardMonthlySpend_k,LoanBalance_k,AnnualContribution_k,Prop_CreditCard,Prop_Loan,Prop_Wealth,Prop_Insurance,WealthPropensity_ML,現有商品
100041,大眾理財,0,48,40-49,北區,理專業務,0,60–120萬,穩健,1,3,1,0,1,0,1,15,2,0,1302,18,39,42,25,39,25,存貸保
100042,財富管理,1,40,40-49,北區,分行臨櫃,8,120–250萬,穩健,1,1,1,0,0,0,0,49,5,0,0,1,61,58,70,56,70,存
100043,財富管理,1,53,50-59,北區,網銀／APP,2,<60萬,保守,0,3,1,0,1,0,1,52,5,0,2005,28,63,60,75,54,75,存貸保
100044,大眾理財,0,40,40-49,北區,電話行銷,2,<60萬,保守,0,2,1,0,0,0,1,10,1,0,0,1,42,44,21,40,21,存保
100045,財富管理,1,29,20-29,北區,網銀／APP,9,60–120萬,保守,1,3,1,1,0,1,0,278,28,17,0,7,61,52,64,56,64,存卡財
100046,財富管理,1,28,20-29,南區,網銀／APP,3,<60萬,穩健,0,5,1,1,1,1,1,784,78,73,2107,52,60,61,69,60,69,存卡貸財保
100047,大眾理財,0,50,50-59,北區,網銀／APP,1,<60萬,積極,0,3,1,1,1,0,0,12,1,12,2067,30,42,45,19,41,19,存卡貸
100048,大眾理財,0,51,50-59,南區,分行臨櫃,2,60–120萬,保守,1,2,1,1,0,0,0,9,1,7,0,2,41,46,15,40,15,存卡
100049,財富管理,1,47,40-49,北區,分行臨櫃,7,60–120萬,穩健,0,2,1,0,0,1,0,2291,229,0,0,19,57,59,69,59,69,存財
100050,大眾理財,0,54,50-59,中區,分行臨櫃,2,<60萬,保守,1,2,1,1,0,0,0,20,2,11,0,3,38,47,15,36,15,存卡
100051,大眾理財,0,49,40-49,北區,電話行銷,4,<60萬,穩健,1,3,1,1,0,0,1,12,1,11,0,4,40,42,19,39,19,存卡保
100052,大眾理財,0,45,40-49,中區,網銀／APP,1,<60萬,積極,1,1,1,0,0,0,0,14,1,0,0,1,40,44,20,41,20,存
100053,財富管理,1,33,30-39,北區,網銀／APP,2,60–120萬,保守,0,4,1,1,0,1,1,1667,167,7,0,17,62,54,70,57,70,存卡財保
100054,財富管理,1,63,60+,東區,分行臨櫃,3,60–120萬,保守,0,3,1,1,0,1,0,726,73,18,0,11,56,59,69,59,69,存卡財
100055,財富管理,1,49,40-49,南區,分行臨櫃,10,120–250萬,穩健,0,2,1,0,0,1,0,164,16,0,0,3,58,60,66,63,66,存財
100056,財富管理,1,39,30-39,南區,網銀／APP,3,120–250萬,保守,1,3,1,0,1,0,1,182,18,0,3065,43,65,56,72,58,72,存貸保
100057,大眾理財,0,30,30-39,南區,分行臨櫃,2,<60萬,保守,0,2,1,1,0,0,0,16,2,26,0,6,43,50,15,40,15,存卡
100058,大眾理財,0,40,40-49,北區,網銀／APP,2,<60萬,保守,0,1,1,0,0,0,0,20,2,0,0,1,46,45,22,39,22,存
100059,大眾理財,0,20,20-29,北區,網銀／APP,4,<60萬,穩健,1,3,1,1,0,0,1,19,2,16,0,5,45,42,20,38,20,存卡保
100060,大眾理財,0,45,40-49,北區,網銀／APP,5,60–120萬,積極,0,3,1,1,0,0,1,8,1,9,0,3,42,44,20,43,20,存卡保
100061,財富管理,1,33,30-39,南區,網銀／APP,10,60–120萬,積極,0,4,1,1,1,0,1,37,4,46,5442,82,63,61,63,63,63,存卡貸保
100062,大眾理財,0,42,40-49,北區,理專業務,11,60–120萬,穩健,1,3,1,1,1,0,0,17,2,38,1215,24,40,43,16,39,16,存卡貸
100063,大眾理財,0,32,30-39,北區,分行臨櫃,4,<60萬,穩健,0,1,1,0,0,0,0,15,2,0,0,1,42,48,19,40,19,存
100064,財富管理,1,41,40-49,中區,理專業務,2,60–120萬,穩健,1,2,1,0,0,0,1,27,3,0,0,2,57,55,73,55,73,存保
100065,財富管理,1,35,30-39,北區,分行臨櫃,4,60–120萬,穩健,1,4,1,1,0,1,1,1853,185,23,0,22,55,57,69,56,69,存卡財保
100066,大眾理財,0,36,30-39,中區,分行臨櫃,1,<60萬,保守,1,2,1,1,0,0,0,25,2,12,0,3,39,46,15,36,15,存卡
100067,大眾理財,0,58,50-59,北區,網銀／APP,3,<60萬,保守,0,2,1,1,0,0,0,13,1,6,0,1,45,45,19,38,19,存卡
100068,大眾理財,0,53,50-59,中區,分行臨櫃,1,<60萬,穩健,0,2,1,0,1,0,0,35,4,0,3429,45,38,49,17,41,17,存貸
100069,大眾理財,0,41,40-49,南區,網銀／APP,7,<60萬,積極,0,1,1,0,0,0,0,25,2,0,0,1,44,48,18,46,18,存
100070,大眾理財,0,37,30-39,中區,電話行銷,3,120–250萬,穩健,1,2,1,0,0,0,1,22,2,0,0,1,40,39,20,42,20,存保
100071,大眾理財,0,47,40-49,北區,電話行銷,8,<60萬,積極,0,2,1,1,0,0,0,13,1,41,0,9,40,45,16,42,16,存卡
100072,大眾理財,0,50,50-59,北區,網銀／APP,5,60–120萬,保守,0,3,1,0,1,0,1,15,2,0,1243,18,44,45,22,40,22,存貸保
100073,財富管理,1,34,30-39,北區,理專業務,7,120–250萬,保守,1,3,1,1,0,1,0,2865,286,33,0,30,60,52,69,56,69,存卡財
100074,大眾理財,0,37,30-39,北區,網銀／APP,1,<60萬,積極,0,3,1,1,0,0,1,8,1,22,0,6,43,46,21,41,21,存卡保
100075,大眾理財,0,20,20-29,中區,分行臨櫃,4,<60萬,保守,1,3,1,1,0,0,1,8,1,8,0,3,39,46,15,37,15,存卡保
100076,大眾理財,0,50,50-59,北區,電話行銷,10,<60萬,穩健,0,3,1,1,1,0,0,13,1,6,4687,62,41,43,13,43,13,存卡貸
100077,大眾理財,0,60,60+,北區,分行臨櫃,2,60–120萬,保守,1,2,1,1,0,0,0,17,2,4,0,1,40,44,17,37,17,存卡
100078,財富管理,1,44,40-49,北區,分行臨櫃,9,120–250萬,積極,1,3,1,1,1,0,0,60,6,17,7031,96,58,58,62,59,62,存卡貸
100079,大眾理財,0,20,20-29,東區,分行臨櫃,0,120–250萬,保守,0,2,1,1,0,0,0,24,2,7,0,2,46,44,19,43,19,存卡
100080,財富管理,1,50,50-59,北區,網銀／APP,1,60–120萬,積極,1,5,1,1,1,1,1,1694,169,8,1576,38,56,53,72,58,72,存卡貸財保
100081,財富管理,1,34,30-39,北區,網銀／APP,4,120–250萬,保守,1,3,1,1,0,1,0,1394,139,48,0,22,63,53,70,56,70,存卡財
100082,大眾理財,0,30,30-39,北區,網銀／APP,2,<60萬,保守,1,2,1,1,0,0,0,14,1,7,0,2,46,41,18,37,18,存卡
100083,財富管理,1,50,50-59,北區,網銀／APP,2,60–120萬,穩健,1,3,1,1,0,1,0,2823,282,33,0,30,60,53,71,56,71,存卡財
100084,大眾理財,0,40,40-49,南區,電話行銷,2,<60萬,保守,1,2,1,1,0,0,0,41,4,7,0,2,43,42,14,40,14,存卡
100085,大眾理財,0,32,30-39,北區,理專業務,4,<60萬,保守,0,2,1,1,0,0,0,14,1,19,0,4,43,44,18,38,18,存卡
100086,大眾理財,0,30,30-39,中區,分行臨櫃,6,<60萬,穩健,0,1,1,0,0,0,0,22,2,0,0,1,40,49,16,41,16,存
100087,財富管理,1,45,40-49,中區,分行臨櫃,6,60–120萬,保守,1,4,1,1,0,1,1,1092,109,49,0,22,53,59,65,54,65,存卡財保
100088,大眾理財,0,33,30-39,南區,網銀／APP,4,120–250萬,保守,0,3,1,1,0,0,1,9,1,4,0,2,48,43,18,44,18,存卡保
100089,大眾理財,0,25,20-29,中區,分行臨櫃,3,<60萬,保守,1,3,1,1,0,0,1,8,1,7,0,3,39,46,15,36,15,存卡保
100090,大眾理財,0,34,30-39,南區,網銀／APP,1,60–120萬,穩健,1,2,1,1,0,0,0,40,4,25,0,6,46,42,17,42,17,存卡
100091,大眾理財,0,41,40-49,北區,網銀／APP,2,<60萬,保守,1,2,1,1,0,0,0,30,3,8,0,2,45,42,18,36,18,存卡
100092,財富管理,1,42,40-49,北區,電話行銷,5,<60萬,穩健,0,2,1,0,0,1,0,1954,195,0,0,16,58,55,69,59,69,存財
100093,大眾理財,0,22,20-29,中區,分行臨櫃,6,<60萬,穩健,1,2,1,0,1,0,0,35,4,0,2152,28,39,46,15,39,15,存貸
100094,大眾理財,0,48,40-49,中區,網銀／APP,9,60–120萬,保守,0,3,1,1,0,0,1,11,1,10,0,4,43,44,16,40,16,存卡保
100095,大眾理財,0,20,20-29,北區,網銀／APP,4,60–120萬,穩健,1,3,1,1,0,0,1,32,3,14,0,5,45,40,19,40,19,存卡保
100096,財富管理,1,39,30-39,北區,理專業務,8,<60萬,穩健,0,3,1,1,0,1,0,1862,186,22,0,20,57,56,67,58,67,存卡財
100097,大眾理財,0,31,30-39,北區,網銀／APP,0,<60萬,穩健,1,3,1,0,1,1,0,213,21,0,2754,39,40,41,21,42,21,存貸財
100098,大眾理財,0,39,30-39,北區,電話行銷,2,<60萬,保守,0,2,1,0,1,0,0,6,1,0,958,13,43,43,18,39,18,存貸
100099,大眾理財,0,44,40-49,北區,電話行銷,3,<60萬,穩健,0,2,1,1,0,0,0,8,1,9,0,2,42,42,17,40,17,存卡
100100,貴賓理財,2,62,60+,北區,分行臨櫃,8,120–250萬,保守,1,2,1,0,0,1,0,20934,2093,0,0,159,79,58,93,71,93,存財
100101,貴賓理財,2,42,40-49,北區,網銀／APP,18,250萬+,穩健,1,4,1,1,0,1,1,20298,2030,31,0,162,81,60,91,74,91,存卡財保
100102,財富管理,1,50,50-59,中區,網銀／APP,5,60–120萬,保守,1,3,1,1,0,1,0,403,40,34,0,12,58,54,65,55,65,存卡財
100103,大眾理財,0,40,40-49,中區,分行臨櫃,0,<60萬,積極,1,3,1,1,0,1,0,74,7,10,0,4,32,45,16,41,16,存卡財
100104,貴賓理財,2,31,30-39,中區,網銀／APP,9,60–120萬,保守,1,3,1,1,0,1,0,14396,1440,55,0,121,79,56,90,70,90,存卡財
100105,財富管理,1,64,60+,中區,網銀／APP,3,120–250萬,穩健,1,4,1,1,0,1,1,1275,128,15,0,16,57,53,71,58,71,存卡財保
100106,財富管理,1,28,20-29,北區,電話行銷,6,60–120萬,穩健,0,3,1,1,0,0,1,36,4,10,0,4,62,54,66,57,66,存卡保
100107,大眾理財,0,42,40-49,北區,分行臨櫃,5,<60萬,保守,1,1,1,0,0,0,0,9,1,0,0,1,41,47,19,37,19,存
100108,大眾理財,0,42,40-49,中區,網銀／APP,0,60–120萬,保守,1,2,1,1,0,0,0,9,1,6,0,1,43,40,17,38,17,存卡
100109,大眾理財,0,41,40-49,南區,分行臨櫃,2,<60萬,保守,0,3,1,1,1,0,0,44,4,8,421,8,42,49,14,39,14,存卡貸
100110,貴賓理財,2,44,40-49,中區,網銀／APP,5,120–250萬,穩健,1,5,1,1,1,1,1,5595,560,40,3082,93,74,57,92,72,92,存卡貸財保
100111,大眾理財,0,47,40-49,中區,網銀／APP,3,<60萬,穩健,0,1,1,0,0,0,0,7,1,0,0,1,43,46,19,41,19,存
100112,大眾理財,0,20,20-29,中區,網銀／APP,1,60–120萬,保守,1,1,1,0,0,0,0,11,1,0,0,1,45,40,18,39,18,存
100113,大眾理財,0,37,30-39,中區,網銀／APP,1,60–120萬,穩健,0,1,1,0,0,0,0,55,6,0,0,1,44,43,20,42,20,存
100114,大眾理財,0,31,30-39,中區,網銀／APP,9,<60萬,保守,0,4,1,1,0,1,1,384,38,10,0,8,39,43,15,42,15,存卡財保
100115,大眾理財,0,30,30-39,中區,網銀／APP,3,<60萬,穩健,0,2,1,1,0,0,0,8,1,11,0,3,44,43,16,41,16,存卡
100116,財富管理,1,48,40-49,北區,電話行銷,2,60–120萬,保守,0,3,1,1,0,0,1,38,4,17,0,5,61,55,69,55,69,存卡保
100117,財富管理,1,55,50-59,北區,分行臨櫃,3,60–120萬,積極,1,3,1,1,0,0,1,59,6,21,0,6,56,60,70,54,70,存卡保
100118,財富管理,1,40,40-49,北區,電話行銷,14,60–120萬,穩健,0,4,1,1,0,1,1,3177,318,67,0,41,58,56,65,60,65,存卡財保
100119,大眾理財,0,46,40-49,中區,網銀／APP,7,<60萬,保守,0,3,1,1,0,0,1,16,2,68,0,16,43,49,18,38,18,存卡保
100120,財富管理,1,44,40-49,南區,理專業務,2,60–120萬,穩健,0,3,1,1,0,0,1,213,21,34,0,10,61,59,70,58,70,存卡保
100121,大眾理財,0,28,20-29,北區,分行臨櫃,1,120–250萬,穩健,1,2,1,0,1,0,0,20,2,0,752,10,42,43,20,40,20,存貸
100122,財富管理,1,41,40-49,北區,網銀／APP,1,60–120萬,保守,1,3,1,1,0,1,0,200,20,12,0,6,60,52,69,55,69,存卡財
100123,大眾理財,0,34,30-39,南區,分行臨櫃,6,<60萬,保守,0,3,1,0,1,0,1,25,2,0,4316,58,41,51,16,43,16,存貸保
100124,大眾理財,0,30,30-39,北區,理專業務,2,<60萬,保守,0,1,1,0,0,0,0,15,2,0,0,1,43,44,21,39,21,存
100125,大眾理財,0,42,40-49,南區,網銀／APP,0,60–120萬,保守,1,1,1,0,0,0,0,12,1,0,0,1,46,43,20,41,20,存
100126,大眾理財,0,40,40-49,北區,網銀／APP,2,60–120萬,穩健,0,3,1,0,1,1,0,415,42,0,1812,28,41,42,21,45,21,存貸財
100127,大眾理財,0,20,20-29,北區,電話行銷,3,250萬+,穩健,0,2,1,1,0,0,0,15,2,17,0,4,46,43,16,44,16,存卡
100128,大眾理財,0,20,20-29,北區,分行臨櫃,2,<60萬,保守,1,3,1,1,1,0,0,19,2,9,4213,57,42,45,14,37,14,存卡貸
100129,大眾理財,0,42,40-49,北區,網銀／APP,7,<60萬,保守,0,1,1,0,0,0,0,12,1,0,0,1,46,46,20,40,20,存
100130,大眾理財,0,29,20-29,北區,電話行銷,3,<60萬,穩健,1,3,1,1,1,0,0,12,1,10,702,11,41,40,16,38,16,存卡貸
100131,大眾理財,0,41,40-49,北區,分行臨櫃,4,60–120萬,穩健,1,2,1,1,0,0,0,38,4,7,0,2,40,44,16,39,16,存卡
100132,貴賓理財,2,58,50-59,北區,理專業務,11,120–250萬,穩健,0,3,1,0,0,1,1,4958,496,0,0,40,73,59,94,74,94,存財保
100133,大眾理財,0,24,20-29,北區,理專業務,5,<60萬,穩健,0,1,1,0,0,0,0,22,2,0,0,1,42,44,21,41,21,存
100134,大眾理財,0,22,20-29,南區,理專業務,2,<60萬,保守,1,2,1,1,0,0,0,12,1,12,0,3,43,43,16,39,16,存卡
100135,大眾理財,0,56,50-59,北區,電話行銷,1,<60萬,穩健,0,1,1,0,0,0,0,37,4,0,0,1,41,44,21,41,21,存
100136,大眾理財,0,41,40-49,北區,分行臨櫃,3,<60萬,穩健,1,1,1,0,0,0,0,19,2,0,0,1,40,47,20,38,20,存
100137,貴賓理財,2,45,40-49,北區,網銀／APP,6,60–120萬,穩健,1,2,1,0,0,1,0,3311,331,0,0,26,75,57,93,71,93,存財
100138,大眾理財,0,27,20-29,南區,分行臨櫃,4,<60萬,保守,1,1,1,0,0,0,0,43,4,0,0,1,42,48,16,40,16,存
100139,財富管理,1,38,30-39,南區,電話行銷,6,<60萬,穩健,0,2,1,1,0,0,0,49,5,22,0,5,62,58,61,59,61,存卡
100140,大眾理財,0,24,20-29,東區,分行臨櫃,9,<60萬,保守,1,2,1,0,0,1,0,348,35,0,0,4,38,46,18,43,18,存財
100141,大眾理財,0,47,40-49,南區,理專業務,2,<60萬,保守,0,1,1,0,0,0,0,9,1,0,0,1,42,47,20,42,20,存
100142,大眾理財,0,29,20-29,北區,分行臨櫃,4,60–120萬,保守,0,4,1,1,1,1,0,183,18,11,206,8,38,44,15,41,15,存卡貸財
100143,貴賓理財,2,62,60+,中區,分行臨櫃,2,120–250萬,穩健,0,3,1,1,0,0,1,407,41,31,0,11,72,65,92,69,92,存卡保
100144,大眾理財,0,33,30-39,北區,分行臨櫃,1,<60萬,穩健,0,3,1,1,1,0,0,16,2,11,1039,16,41,47,16,39,16,存卡貸
100145,大眾理財,0,26,20-29,南區,電話行銷,3,<60萬,保守,0,1,1,0,0,0,0,18,2,0,0,1,45,44,16,43,16,存
100146,大眾理財,0,33,30-39,北區,分行臨櫃,1,60–120萬,保守,0,2,1,0,0,0,1,16,2,0,0,1,42,47,22,39,22,存保
100147,大眾理財,0,20,20-29,北區,分行臨櫃,5,60–120萬,保守,0,3,1,1,0,0,1,16,2,6,0,3,43,45,16,39,16,存卡保
100148,大眾理財,0,36,30-39,南區,分行臨櫃,4,<60萬,穩健,0,3,1,1,1,0,0,12,1,17,823,15,41,50,14,42,14,存卡貸
100149,大眾理財,0,36,30-39,南區,網銀／APP,1,<60萬,穩健,1,3,1,1,0,0,1,13,1,8,0,3,44,44,19,41,19,存卡保
100150,大眾理財,0,47,40-49,東區,理專業務,2,60–120萬,穩健,0,3,1,1,0,0,1,14,1,4,0,2,41,43,23,44,23,存卡保
100151,財富管理,1,23,20-29,北區,網銀／APP,10,120–250萬,穩健,0,3,1,1,0,0,1,51,5,124,0,28,66,62,73,57,73,存卡保
100152,貴賓理財,2,62,60+,北區,分行臨櫃,7,60–120萬,穩健,1,5,1,1,1,1,1,6771,677,37,4454,119,70,62,92,71,92,存卡貸財保
100153,大眾理財,0,47,40-49,北區,分行臨櫃,12,<60萬,保守,0,3,1,1,0,0,1,23,2,10,0,4,41,50,15,38,15,存卡保
100154,大眾理財,0,51,50-59,北區,分行臨櫃,2,<60萬,穩健,0,1,1,0,0,0,0,45,4,0,0,1,40,49,21,40,21,存
100155,大眾理財,0,37,30-39,北區,網銀／APP,2,60–120萬,保守,1,2,1,1,0,0,0,28,3,70,0,15,46,44,20,37,20,存卡
100156,財富管理,1,55,50-59,北區,分行臨櫃,4,60–120萬,穩健,1,2,1,1,0,0,0,32,3,29,0,7,59,59,67,53,67,存卡
100157,大眾理財,0,21,20-29,南區,分行臨櫃,0,120–250萬,穩健,0,3,1,1,0,1,0,177,18,77,0,20,40,48,18,46,18,存卡財
100158,財富管理,1,51,50-59,北區,分行臨櫃,4,<60萬,積極,0,4,1,1,1,0,1,144,14,23,3167,49,56,63,68,56,68,存卡貸保
100159,財富管理,1,35,30-39,中區,網銀／APP,4,60–120萬,保守,0,2,1,1,0,0,0,114,11,48,0,11,64,57,65,55,65,存卡
100160,財富管理,1,25,20-29,南區,電話行銷,7,120–250萬,穩健,1,1,1,0,0,0,0,158,16,0,0,1,64,53,66,60,66,存
100161,大眾理財,0,25,20-29,中區,分行臨櫃,7,60–120萬,穩健,0,2,1,1,0,0,0,17,2,7,0,2,40,45,13,41,13,存卡
100162,貴賓理財,2,50,50-59,北區,網銀／APP,4,250萬+,積極,1,4,1,0,1,1,1,3549,355,0,1161,45,73,62,94,74,94,存貸財保
100163,大眾理財,0,28,20-29,北區,網銀／APP,0,<60萬,保守,1,2,1,1,0,0,0,21,2,33,0,7,46,43,19,36,19,存卡
100164,大眾理財,0,42,40-49,北區,理專業務,3,120–250萬,穩健,0,2,1,1,0,0,0,8,1,9,0,2,43,41,20,42,20,存卡
100165,大眾理財,0,20,20-29,南區,分行臨櫃,1,120–250萬,保守,0,1,1,0,0,0,0,15,2,0,0,1,46,46,18,44,18,存
100166,大眾理財,0,20,20-29,北區,電話行銷,3,120–250萬,積極,1,2,1,1,0,0,0,76,8,17,0,4,42,38,17,42,17,存卡
100167,財富管理,1,59,50-59,北區,理專業務,5,60–120萬,穩健,0,3,1,1,0,0,1,50,5,19,0,6,59,57,72,55,72,存卡保
100168,財富管理,1,53,50-59,東區,理專業務,2,120–250萬,穩健,0,3,1,1,0,1,0,1350,135,40,0,20,58,55,75,62,75,存卡財
100169,大眾理財,0,26,20-29,中區,電話行銷,3,<60萬,穩健,1,2,1,0,0,0,1,15,2,0,0,1,39,42,19,40,19,存保
100170,貴賓理財,2,49,40-49,南區,分行臨櫃,1,60–120萬,穩健,0,4,1,1,0,1,1,17227,1723,82,0,150,77,65,93,73,93,存卡財保
100171,大眾理財,0,49,40-49,北區,理專業務,4,<60萬,穩健,0,2,1,1,0,0,0,9,1,11,0,3,41,44,19,40,19,存卡
100172,大眾理財,0,42,40-49,東區,電話行銷,5,<60萬,保守,0,1,1,0,0,0,0,27,3,0,0,1,44,44,20,43,20,存
100173,大眾理財,0,39,30-39,北區,分行臨櫃,4,120–250萬,穩健,0,1,1,0,0,0,0,13,1,0,0,1,43,46,20,42,20,存
100174,貴賓理財,2,62,60+,北區,分行臨櫃,4,120–250萬,穩健,1,5,1,1,1,1,1,2507,251,43,5744,106,70,62,93,72,93,存卡貸財保
100175,大眾理財,0,29,20-29,南區,理專業務,5,<60萬,保守,0,3,1,1,0,1,0,89,9,1,0,2,39,43,15,44,15,存卡財
100176,大眾理財,0,38,30-39,南區,分行臨櫃,4,60–120萬,穩健,1,1,1,0,0,0,0,62,6,0,0,1,41,47,17,42,17,存
100177,大眾理財,0,37,30-39,北區,電話行銷,5,<60萬,保守,0,1,1,0,0,0,0,28,3,0,0,1,43,43,18,40,18,存
100178,私人銀行,3,51,50-59,北區,網銀／APP,17,120–250萬,穩健,1,4,1,1,0,1,1,3692,369,88,0,49,83,51,98,80,98,存卡財保
